States,Name,Type
Syntax Tree,Output,
0,pick green->0,
Nodes,Type,Output (Node -> Input)
0,operator{RgetR[]S},
1,operator{R[]where==R[]TC},0->0
2,param{const txt=color},1->1
3,param{const color=green},1->2
4,param{ref[]:resources},1->0
5,operator{SminIdS[]},0->1
6,operator{S[]distV[]V},5->0
7,operator{VgetRT},6->0
8,param{ref:self},7->0
9,param{const txt=curPos},7->1
10,operator{V[]getR[]T},6->1
11,param{const txt=pos},10->0
12,operator{R[]where==R[]TC},10->1
13,param{const txt=color},12->1
14,param{const color=green},12->2
15,param{ref[]:resources},12->0
,,
Syntax Tree,Output,
0,go to green trace->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{V[]getRT},0->0
2,param{const txt=points},1->1
3,operator{RgetR[]S},1->0
4,param{ref[]:traces},3->0
5,operator{SminIdS[]},3->1
6,operator{S[]getR[]T},5->0
7,param{const txt=age},6->1
8,operator{R[]where==R[]TC},6->0
9,param{const color=green},8->2
10,param{ref[]:traces},8->0
11,param{const txt=color},8->1
,,
Syntax Tree,Output,
0,go to red trace->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{V[]getRT},0->0
2,param{const txt=points},1->1
3,operator{RgetR[]S},1->0
4,param{ref[]:traces},3->0
5,operator{SminIdS[]},3->1
6,operator{S[]getR[]T},5->0
7,param{const txt=age},6->1
8,operator{R[]where==R[]TC},6->0
9,param{const color=red},8->2
10,param{ref[]:traces},8->0
11,param{const txt=color},8->1
,,
Syntax Tree,Output,
0,go to home->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{ref:home},1->0
3,param{const txt=pos},1->1
,,
Syntax Tree,Output,
0,go to red->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{const txt=pos},1->1
3,operator{VgetRT},1->0
4,operator{RgetR[]S},3->0
5,operator{R[]where==R[]TC},4->0
6,param{const txt=color},5->1
7,param{const color=red},5->2
8,param{ref[]:resources},5->0
9,operator{SminIdS[]},4->1
10,operator{S[]distV[]V},9->0
11,operator{VgetRT},10->0
12,param{ref:self},11->0
13,param{const txt=curPos},11->1
14,operator{V[]getR[]T},10->1
15,param{const txt=pos},14->1
16,operator{R[]where==R[]TC},14->0
17,param{ref[]:resources},16->0
18,param{const color=red},16->2
19,param{const txt=color},16->1
,,
Syntax Tree,Output,
0,pick red->0,
Nodes,Type,Output (Node -> Input)
0,operator{RgetR[]S},
1,operator{R[]where==R[]TC},0->0
2,param{const txt=color},1->1
3,param{const color=red},1->2
4,param{ref[]:resources},1->0
5,operator{SminIdS[]},0->1
6,operator{S[]distV[]V},5->0
7,operator{VgetRT},6->1
8,param{ref:self},7->0
9,param{const txt=curPos},7->1
10,operator{V[]getR[]T},6->0
11,param{const txt=pos},10->1
12,operator{R[]where==R[]TC},10->0
13,param{const txt=color},12->1
14,param{const color=red},12->2
15,param{ref[]:resources},12->0
